Address,AddrCoor,Latitude,Longitude,WeapType,Date,Month
2200 block Independence Lane,"2200 Independence Ln, Madison, Wisconsin, 53704",43.12824884006049,-89.30866604238192,gun,2014-06-08T17:38:00.000Z,Jun
4601 Verona Rd,"4601 Verona Rd, Madison, Wisconsin, 53711",43.03496491644079,-89.45449950372225,knife,2014-06-11T01:54:00.000Z,Jun
5200 block Piccadilly Dr.,"5200 Piccadilly Dr, Madison, Wisconsin, 53714",43.10154213928266,-89.29235621847124,gun,2014-06-11T03:13:00.000Z,Jun
200 block Kennedy Heights,"200 Kennedy Hts, Madison, Wisconsin, 53704",43.14019683989521,-89.38798062705139,gun,2014-06-18T20:25:00.000Z,Jun
Whitney Way near Hammersley Ave,"Hammersley Ave, Madison, Wisconsin, 53705",43.06256662994958,-89.44013693034435,gun,2014-07-10T17:35:00.000Z,Jul
3014 Worthington Ave,"3014 Worthington Ave, Madison, Wisconsin, 53714",43.102615514859416,-89.3396517799065,gun,2014-07-16T23:31:00.000Z,Jul
1866 Fisher St,"1866 Fisher St, Madison, Wisconsin, 53713",43.045977415488494,-89.39178635209744,gun,2014-07-18T00:05:00.000Z,Jul
Lien Rd @ N Thompson Dr,"Lien Rd & N Thompson Dr, Madison, Wisconsin, 53704",43.1211465,-89.29939949999998,gun,2014-07-18T14:07:00.000Z,Jul
East Towne Blvd.,"East Towne Blvd, Madison, Wisconsin, 53704",43.12702680976711,-89.30779445641689,gun,2014-07-24T17:38:00.000Z,Jul
2000 block Westbrook Lane,"2000 Westbrook Ln, Madison, Wisconsin, 53711",43.03173270430143,-89.49088679569857,gun,2014-07-24T22:14:00.000Z,Jul
400 block N Frances St,"400 N Frances St, Madison, Wisconsin, 53703",43.07317826673804,-89.39587524006424,gun,2014-07-27T02:08:00.000Z,Jul
2100 block Fisher St.,"2100 Fisher St, Madison, Wisconsin, 53713",43.04294760322378,-89.39191918715007,gun,2014-07-30T00:01:00.000Z,Jul
6731 Park Edge Dr,"6731 Park Edge Dr, Madison, Wisconsin, 53719",43.04254051540769,-89.50063680382654,gun,2014-08-06T01:41:00.000Z,Aug
3329 Chicago Ave,"3329 Chicago Ave, Madison, Wisconsin, 53714",43.101548488458796,-89.33172236081137,gun,2014-08-09T03:39:00.000Z,Aug
1221 Huxley St.,"1221 Huxley St, Madison, Wisconsin, 53704",43.11274308960039,-89.35882407630535,gun,2014-07-31T13:28:00.000Z,Jul
1300 block Temkin Ave.,"1300 Temkin Ave, Madison, Wisconsin, 53705",43.081129662231376,-89.47706890469145,gun,2014-08-17T21:23:00.000Z,Aug
S. Whitney Way,"S Whitney Way, Madison, Wisconsin, 53711",43.05402590377344,-89.47362440160377,gun,2014-08-16T03:25:00.000Z,Aug
900 block Magnolia Lane,"900 Magnolia Ln, Madison, Wisconsin, 53713",43.03945637265016,-89.3974058883339,knife,2014-08-20T00:57:00.000Z,Aug
500 block N. Frances St.,"500 N Frances St, Madison, Wisconsin, 53703",43.07541886705881,-89.39540316122759,,2014-08-19T18:22:00.000Z,Aug
2300 block Allied Dr.,"2300 Allied Dr, Madison, Wisconsin, 53711",43.02889695353907,-89.45950695342123,gun,2014-08-20T21:58:00.000Z,Aug
6700 block Schroeder Rd.,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04633140102703,-89.49789674864266,gun,2014-08-23T15:30:00.000Z,Aug
Sunfish Court,"Sunfish Ct, Madison, Wisconsin, 53713",43.02807732782558,-89.41622046211992,gun,2014-08-26T10:34:00.000Z,Aug
5800 block Russett Rd.,"5800 Russett Rd, Madison, Wisconsin, 53711",43.03283624545014,-89.48098283910532,gun,2014-08-28T13:03:00.000Z,Aug
4501 Verona Rd.,"4501 Verona Rd, Madison, Wisconsin, 53711",43.03564277710789,-89.45355634260505,gun,2014-08-29T22:52:00.000Z,Aug
5800 block Raymond Rd.,"5800 Raymond Rd, Madison, Wisconsin, 53711",43.032039382767394,-89.47987649999997,gun,2014-08-31T00:18:00.000Z,Aug
1000 block McKenna Blvd.,"1000 McKenna Blvd, Madison, Wisconsin, 53719",43.04396195226299,-89.50381285926615,gun,2014-09-01T04:23:00.000Z,Sep
2900 block Coho St.,"2900 Coho St, Madison, Wisconsin, 53713",43.02934953814485,-89.41476209869812,gun,2014-09-05T07:03:00.000Z,Sep
6700 Schroeder Rd,"6700 Schroeder Rd, Madison, Wisconsin, 53711",43.04633140102703,-89.49789674864266,gun,2014-09-08T19:16:00.000Z,Sep
2000 block Northport Dr.,"2000 Northport Dr, Madison, Wisconsin, 53704",43.12876947724378,-89.35775420686113,knife,2014-01-02T05:02:00.000Z,Jan
100 block E. Gorham St.,"100 W Gorham St, Madison, Wisconsin, 53703",43.0766989897855,-89.38910427545109,gun,2014-01-12T02:10:00.000Z,Jan
6300 block Hammersley Rd.,"6300 Hammersley Rd, Madison, Wisconsin, 53711",43.0391745437449,-89.4898836617653,gun,2014-01-15T20:23:00.000Z,Jan
4649 Verona Rd.,"4649 Verona Rd, Madison, Wisconsin, 53711",43.033328788678666,-89.45644476210424,gun,2014-01-17T21:06:00.000Z,Jan
Theresa Terrace,"Theresa Ter, Madison, Wisconsin, 53711",43.037919017958295,-89.48983609486307,gun,2014-01-23T19:46:00.000Z,Jan
1210 Williamson St,"1210 Williamson St, Madison, Wisconsin, 53703",43.083500373593296,-89.36403890218695,knife,2014-01-26T02:11:00.000Z,Jan
S. Gammon Rd.,"S Gammon Rd, Madison, Wisconsin, 53719",43.05836449933653,-89.5029286419188,knife,2014-01-26T21:15:00.000Z,Jan
2400 block of Allied Dr,"2400 Allied Dr, Madison, Wisconsin, 53711",43.02674642397273,-89.45983585683668,gun,2014-02-07T22:00:00.000Z,Feb
7500 block Tree Lane,"7500 Tree Ln, Madison, Wisconsin, 53717",43.06420189278842,-89.51257874240238,gun,2014-02-18T22:31:00.000Z,Feb
4500 block of Cottage Grove Rd,"4500 Cottage Grove Rd, Madison, Wisconsin, 53716",43.08432492660752,-89.30529813808155,,2014-03-05T22:34:00.000Z,Mar
200 block N. Thompson Dr.,"200 S Thompson Dr, Madison, Wisconsin, 53714",43.096474984380855,-89.28687010733896,gun,2014-03-07T01:32:00.000Z,Mar
